Sample	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	# unaligned contigs_partial	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	# genomic features	# genomic features_partial	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
UNY208P	19.0	19.0	19.0	19.0	13.0	2.0	1413253.0	1413253.0	1413253.0	1413253.0	1287173.0	966596.0	19.0	912713.0	1413253.0	1521208.0	28.35	28.18	912713.0	912713.0	25503.0	21337.0	600072.0	557486.9	1.0	1.0	13.0	17.0	14.0	6.0	187224.0	6.0	0.0	0.0	8.0	0.0	16.0	185167.0	78.52	1.025	0.0	772.9	41.67	1262.0	35.0	904987.0	1223835.0	904987.0	904987.0	-	-	584040.7	542593.3	1.0	1.0	-	-
UNY990P	17.0	17.0	17.0	16.0	13.0	2.0	1367194.0	1367194.0	1367194.0	1358674.0	1296898.0	957523.0	17.0	902813.0	1367194.0	1521208.0	28.23	28.18	902813.0	902813.0	28907.0	-	607096.7	545631.5	1.0	1.0	11.0	-	14.0	6.0	164428.0	7.0	0.0	0.0	3.0	0.0	14.0	140300.0	78.845	1.02	0.0	807.88	53.28	1252.0	40.0	902629.0	1223702.0	902629.0	902629.0	-	-	601931.5	540989.2	1.0	1.0	-	-
URI101H	32.0	23.0	21.0	21.0	19.0	2.0	1554475.0	1551460.0	1549428.0	1549428.0	1506797.0	964146.0	25.0	910549.0	1552980.0	1521208.0	28.09	28.18	910549.0	910549.0	29785.0	29785.0	547818.1	559259.9	1.0	1.0	15.0	15.0	18.0	12.0	337554.0	9.0	0.0	0.0	0.0	0.0	6.0	53367.0	94.39	1.043	0.0	200.18	22.77	1547.0	35.0	910549.0	1497642.0	910549.0	910549.0	12500.0	16779.0	544589.6	555963.9	1.0	1.0	18.0	16.0
URI102H	44.0	20.0	16.0	16.0	15.0	3.0	1442774.0	1434568.0	1426403.0	1426403.0	1404462.0	1020730.0	25.0	910559.0	1438278.0	1521208.0	28.16	28.18	910559.0	910559.0	30222.0	27792.0	589752.8	557601.9	1.0	1.0	12.0	14.0	10.0	9.0	273400.0	0.0	0.0	0.0	0.0	0.0	4.0	22831.0	91.219	1.02	0.0	92.81	11.59	1504.0	35.0	910559.0	1414646.0	910559.0	910559.0	24180.0	15817.0	586882.7	554888.3	1.0	1.0	13.0	17.0
URI103H	56.0	19.0	18.0	18.0	12.0	3.0	1474413.0	1459331.0	1458171.0	1458171.0	1329812.0	1061719.0	28.0	921058.0	1465528.0	1521208.0	28.13	28.18	921058.0	921058.0	26514.0	24228.0	593368.6	571649.8	1.0	1.0	12.0	14.0	25.0	12.0	1261569.0	15.0	0.0	0.0	3.0	8.0	16.0	218037.0	80.474	1.019	0.0	869.46	52.92	1287.0	49.0	905415.0	1247100.0	905415.0	905415.0	-	-	563574.3	542946.1	1.0	1.0	-	-
URI107H	49.0	19.0	19.0	19.0	18.0	2.0	1505434.0	1495807.0	1495807.0	1495807.0	1473869.0	964183.0	26.0	910570.0	1501264.0	1521208.0	28.22	28.18	910570.0	910570.0	29727.0	28108.0	565721.6	558304.7	1.0	1.0	14.0	15.0	12.0	9.0	245415.0	1.0	0.0	0.0	0.0	0.0	4.0	20832.0	92.989	1.046	0.0	127.59	12.91	1537.0	30.0	910570.0	1479733.0	910570.0	910570.0	21987.0	21614.0	563750.1	556358.9	1.0	1.0	15.0	16.0
URI111H	23.0	21.0	19.0	19.0	18.0	3.0	1539609.0	1539157.0	1536822.0	1536822.0	1514726.0	1043298.0	21.0	910611.0	1539157.0	1521208.0	28.15	28.18	910611.0	910611.0	30260.0	30299.0	554805.9	561352.2	1.0	1.0	14.0	13.0	21.0	12.0	430100.0	6.0	0.0	0.0	0.0	0.0	5.0	30201.0	94.226	1.048	0.0	251.16	28.36	1546.0	35.0	910611.0	1502246.0	910611.0	910611.0	16822.0	17432.0	548962.5	555439.8	1.0	1.0	18.0	17.0
URI112H	85.0	24.0	19.0	17.0	10.0	3.0	1431440.0	1407410.0	1397089.0	1382483.0	1245305.0	1028355.0	41.0	903099.0	1420550.0	1521208.0	28.13	28.18	903099.0	903099.0	24214.0	12616.0	586784.8	547957.4	1.0	1.0	12.0	16.0	26.0	10.0	290299.0	14.0	0.0	0.0	6.0	4.0	18.0	177877.0	79.202	1.029	0.0	827.54	54.85	1250.0	64.0	903082.0	1239704.0	903082.0	903082.0	-	-	578157.0	539900.5	1.0	1.0	-	-
URI117H	160.0	38.0	22.0	16.0	8.0	2.0	1384478.0	1339171.0	1303375.0	1261701.0	1088008.0	896727.0	73.0	461794.0	1364256.0	1521208.0	28.01	28.18	434933.0	434933.0	20991.0	-	302730.6	271496.1	2.0	2.0	15.0	-	16.0	10.0	176992.0	5.0	0.0	0.0	5.0	16.0	20.0	170076.0	76.743	1.02	0.0	738.38	49.21	1206.0	63.0	461794.0	1190713.0	434864.0	434864.0	-	-	298606.7	267797.7	2.0	2.0	-	-
URI118H	109.0	24.0	18.0	16.0	11.0	2.0	1380118.0	1351956.0	1343032.0	1329643.0	1231478.0	974805.0	40.0	920957.0	1363534.0	1521208.0	28.2	28.18	920957.0	920957.0	26073.0	-	631071.1	565660.3	1.0	1.0	11.0	-	21.0	11.0	1180331.0	11.0	0.0	0.0	3.0	7.0	15.0	144888.0	78.827	1.012	0.0	777.62	48.77	1253.0	54.0	905370.0	1213829.0	905370.0	905370.0	-	-	605306.7	542566.3	1.0	1.0	-	-
URI120H	105.0	30.0	22.0	21.0	17.0	2.0	1576195.0	1553420.0	1539609.0	1533955.0	1440066.0	964363.0	43.0	910720.0	1561905.0	1521208.0	28.23	28.18	910720.0	910720.0	26498.0	26958.0	544269.8	558830.7	1.0	1.0	16.0	15.0	15.0	9.0	249035.0	6.0	0.0	0.0	1.0	2.0	6.0	32234.0	94.713	1.061	0.0	241.92	30.56	1549.0	42.0	910708.0	1528192.0	910708.0	910708.0	11706.0	16822.0	541710.3	556202.7	1.0	1.0	19.0	17.0
URI33H	44.0	17.0	16.0	15.0	13.0	2.0	1353948.0	1344529.0	1342007.0	1334990.0	1307570.0	957555.0	25.0	902844.0	1349420.0	1521208.0	28.05	28.18	902844.0	902844.0	30583.0	-	615027.7	545573.4	1.0	1.0	10.0	-	18.0	7.0	213190.0	14.0	0.0	0.0	2.0	7.0	12.0	115663.0	79.791	1.013	0.0	777.3	49.44	1255.0	47.0	902630.0	1229764.0	902630.0	902630.0	2376.0	-	609741.7	540884.3	1.0	1.0	24.0	-
URI34H	79.0	29.0	18.0	16.0	10.0	2.0	1376021.0	1352700.0	1335437.0	1317270.0	1191974.0	964064.0	53.0	910082.0	1369133.0	1521208.0	28.26	28.18	910082.0	910082.0	24444.0	517.0	613972.7	552593.9	1.0	1.0	12.0	53.0	9.0	4.0	117675.0	8.0	0.0	0.0	1.0	11.0	12.0	185898.0	75.937	1.017	0.0	704.15	41.21	1186.0	61.0	904883.0	1174458.0	904883.0	904883.0	-	-	602436.3	542210.8	1.0	1.0	-	-
URI36H	53.0	25.0	21.0	20.0	13.0	2.0	1482383.0	1470916.0	1463555.0	1454827.0	1308923.0	981497.0	34.0	927732.0	1476993.0	1521208.0	28.18	28.18	927732.0	927732.0	24799.0	23172.0	593546.1	576294.2	1.0	1.0	14.0	16.0	39.0	16.0	1339384.0	12.0	0.0	0.0	1.0	11.0	17.0	124272.0	82.581	1.074	0.0	973.06	63.98	1295.0	53.0	903450.0	1348941.0	903450.0	903450.0	1976.0	-	558503.2	542269.9	1.0	1.0	42.0	-
URI39H	28.0	25.0	21.0	21.0	18.0	2.0	1557202.0	1556617.0	1550714.0	1550714.0	1491460.0	974342.0	25.0	920673.0	1556617.0	1521208.0	28.18	28.18	920673.0	920673.0	29922.0	29953.0	558251.9	571246.3	1.0	1.0	15.0	14.0	15.0	9.0	1145996.0	11.0	0.0	0.0	0.0	0.0	5.0	33225.0	96.519	1.036	0.0	216.2	22.67	1592.0	35.0	910664.0	1521753.0	910664.0	910664.0	17053.0	24180.0	544132.2	556797.9	1.0	1.0	17.0	15.0
URI40H	82.0	26.0	21.0	19.0	17.0	2.0	1509727.0	1489695.0	1482038.0	1468459.0	1430502.0	964227.0	42.0	910602.0	1501192.0	1521208.0	28.24	28.18	910602.0	910602.0	28159.0	26498.0	564706.4	557276.0	1.0	1.0	14.0	15.0	15.0	10.0	273034.0	1.0	0.0	0.0	1.0	3.0	7.0	38594.0	93.357	1.029	0.0	147.59	20.18	1538.0	39.0	910602.0	1461497.0	910602.0	910602.0	15745.0	11855.0	562201.8	554804.4	1.0	1.0	17.0	18.0
URI41H	84.0	21.0	17.0	17.0	15.0	3.0	1468867.0	1447925.0	1441808.0	1441808.0	1404162.0	1028130.0	34.0	914354.0	1457112.0	1521208.0	28.25	28.18	914354.0	914354.0	29838.0	26498.0	587000.6	562267.3	1.0	1.0	12.0	14.0	13.0	5.0	198557.0	5.0	0.0	0.0	1.0	0.0	4.0	22425.0	91.732	1.025	0.0	166.82	22.52	1509.0	42.0	910732.0	1429648.0	910732.0	910732.0	19399.0	13215.0	578990.2	554594.5	1.0	1.0	15.0	18.0
URI42H	74.0	25.0	18.0	17.0	15.0	3.0	1460998.0	1444651.0	1434764.0	1427480.0	1389625.0	1021763.0	36.0	910587.0	1452605.0	1521208.0	28.33	28.18	910587.0	910587.0	29948.0	26498.0	583429.6	557118.2	1.0	1.0	13.0	15.0	12.0	8.0	242305.0	1.0	0.0	0.0	1.0	3.0	5.0	34240.0	90.328	1.031	0.0	153.47	20.25	1499.0	28.0	910587.0	1417187.0	910587.0	910587.0	17431.0	7399.0	580220.8	554054.2	1.0	1.0	15.0	19.0
URI44H	75.0	22.0	19.0	18.0	12.0	2.0	1417636.0	1398063.0	1392903.0	1385077.0	1259640.0	974850.0	37.0	921082.0	1408987.0	1521208.0	28.11	28.18	921082.0	921082.0	24780.0	21164.0	611945.9	566802.1	1.0	1.0	13.0	17.0	24.0	11.0	1187541.0	14.0	0.0	0.0	4.0	4.0	20.0	180999.0	78.825	1.022	0.0	798.63	51.27	1250.0	55.0	905453.0	1224978.0	905453.0	905453.0	-	-	585952.2	542726.0	1.0	1.0	-	-
URI45H	350.0	96.0	39.0	24.0	17.0	4.0	1585394.0	1502288.0	1367871.0	1264378.0	1143683.0	748610.0	139.0	254720.0	1532603.0	1521208.0	28.06	28.18	42830.0	42830.0	4696.0	4917.0	114914.3	115775.1	5.0	5.0	42.0	40.0	21.0	15.0	273617.0	11.0	0.0	0.0	5.0	22.0	22.0	214935.0	80.823	1.071	0.0	859.07	53.87	1233.0	118.0	254720.0	1316192.0	38825.0	38825.0	-	-	109932.1	110755.5	5.0	5.0	-	-
URI46H	95.0	27.0	19.0	16.0	10.0	4.0	1437550.0	1414866.0	1405423.0	1383984.0	1253795.0	1077575.0	41.0	906762.0	1425069.0	1521208.0	28.0	28.18	906762.0	906762.0	24565.0	17119.0	589625.5	552361.7	1.0	1.0	12.0	16.0	29.0	15.0	342002.0	9.0	0.0	0.0	2.0	8.0	18.0	180297.0	79.301	1.027	0.0	817.66	52.04	1248.0	62.0	904647.0	1239384.0	904647.0	904647.0	-	-	578233.1	541689.3	1.0	1.0	-	-
URI47H	29.0	21.0	19.0	18.0	14.0	4.0	1512039.0	1507689.0	1505586.0	1496192.0	1407672.0	1111925.0	24.0	921203.0	1510323.0	1521208.0	28.18	28.18	921203.0	921203.0	26514.0	26514.0	577492.2	573360.0	1.0	1.0	13.0	13.0	31.0	16.0	1356200.0	16.0	0.0	0.0	3.0	0.0	17.0	213246.0	80.907	1.05	0.0	924.47	58.01	1290.0	54.0	905460.0	1292852.0	905460.0	905460.0	-	-	547281.9	543365.8	1.0	1.0	-	-
URI48H	22.0	16.0	16.0	15.0	14.0	2.0	1377993.0	1375278.0	1375278.0	1366758.0	1350631.0	957485.0	18.0	902776.0	1377107.0	1521208.0	28.3	28.18	902776.0	902776.0	29586.0	8520.0	603907.5	546700.5	1.0	1.0	11.0	16.0	18.0	8.0	257775.0	12.0	0.0	0.0	1.0	1.0	13.0	135317.0	79.659	1.022	0.0	854.78	48.47	1261.0	56.0	902586.0	1237857.0	902586.0	902586.0	-	-	597531.8	540928.8	1.0	1.0	-	-
URI56H	230.0	48.0	20.0	10.0	3.0	2.0	1297641.0	1233022.0	1170376.0	1099567.0	983573.0	957067.0	84.0	903272.0	1259512.0	1521208.0	28.1	28.18	903272.0	903272.0	7895.0	-	652857.3	540545.2	1.0	1.0	14.0	-	14.0	9.0	113180.0	7.0	0.0	0.0	1.0	14.0	17.0	57814.0	77.927	1.01	0.0	728.86	48.69	1203.0	81.0	903068.0	1197483.0	903068.0	903068.0	2959.0	-	651881.5	539737.2	1.0	1.0	21.0	-
URI86H	88.0	25.0	17.0	15.0	9.0	3.0	1406230.0	1384893.0	1375267.0	1360659.0	1232882.0	1059318.0	39.0	919077.0	1395149.0	1521208.0	28.07	28.18	919077.0	919077.0	24381.0	8673.0	618587.5	567326.6	1.0	1.0	10.0	16.0	24.0	13.0	1227542.0	14.0	0.0	0.0	3.0	11.0	15.0	194419.0	78.017	1.013	0.0	763.12	43.83	1238.0	51.0	905419.0	1202425.0	905419.0	905419.0	-	-	591532.4	542513.5	1.0	1.0	-	-
URI87H	66.0	24.0	19.0	19.0	18.0	2.0	1505755.0	1491333.0	1482048.0	1482048.0	1460107.0	964183.0	34.0	910570.0	1498567.0	1521208.0	28.22	28.18	910570.0	910570.0	29801.0	28162.0	565982.2	557558.3	1.0	1.0	14.0	15.0	12.0	9.0	246397.0	1.0	0.0	0.0	0.0	0.0	4.0	14744.0	93.766	1.04	0.0	152.86	15.37	1547.0	38.0	910570.0	1483054.0	910570.0	910570.0	16800.0	14682.0	563861.9	555469.6	1.0	1.0	16.0	17.0
URI88H	33.0	21.0	20.0	20.0	16.0	5.0	1540602.0	1536809.0	1533641.0	1533641.0	1459031.0	1128755.0	23.0	906672.0	1538319.0	1521208.0	28.23	28.18	906672.0	906672.0	29970.0	30258.0	549806.3	555990.7	1.0	1.0	14.0	13.0	34.0	12.0	441972.0	24.0	0.0	0.0	3.0	2.0	18.0	215944.0	81.483	1.065	0.0	919.68	56.37	1300.0	45.0	904981.0	1319922.0	904981.0	904981.0	-	-	537221.6	543264.4	1.0	1.0	-	-
URI89H	85.0	26.0	22.0	21.0	18.0	2.0	1553229.0	1536778.0	1530148.0	1523878.0	1464255.0	964384.0	33.0	910720.0	1541420.0	1521208.0	28.23	28.18	910720.0	910720.0	28159.0	29732.0	551068.6	558390.5	1.0	1.0	16.0	15.0	17.0	11.0	333226.0	5.0	0.0	0.0	0.0	0.0	6.0	30796.0	94.092	1.055	0.0	195.47	23.38	1540.0	44.0	910720.0	1509728.0	910720.0	910720.0	15818.0	16801.0	548321.8	555607.2	1.0	1.0	18.0	17.0
URI91H	26.0	23.0	22.0	22.0	20.0	2.0	1588266.0	1587663.0	1586419.0	1586419.0	1542499.0	964288.0	23.0	910690.0	1587663.0	1521208.0	28.21	28.18	910690.0	910690.0	29838.0	30299.0	536832.3	560284.2	1.0	1.0	16.0	14.0	12.0	11.0	330904.0	2.0	0.0	0.0	0.0	0.0	5.0	27320.0	96.095	1.067	0.0	114.59	13.08	1585.0	31.0	910690.0	1559505.0	910690.0	910690.0	20069.0	26498.0	534634.8	557990.7	1.0	1.0	18.0	15.0
URI93H	29.0	18.0	17.0	17.0	16.0	3.0	1474340.0	1470189.0	1469182.0	1469182.0	1444526.0	1014439.0	21.0	910570.0	1472745.0	1521208.0	28.12	28.18	910570.0	910570.0	30299.0	29805.0	577033.6	558650.4	1.0	1.0	12.0	14.0	15.0	8.0	251406.0	4.0	0.0	0.0	0.0	0.0	3.0	22254.0	93.435	1.019	0.0	137.8	21.54	1532.0	38.0	910570.0	1448496.0	910570.0	910570.0	24168.0	16800.0	573983.1	555697.0	1.0	1.0	14.0	16.0
UWI247P	17.0	17.0	17.0	17.0	12.0	2.0	1359286.0	1359286.0	1359286.0	1359286.0	1256549.0	966184.0	17.0	912339.0	1359286.0	1521208.0	28.17	28.18	912339.0	912339.0	26785.0	-	622310.7	556070.1	1.0	1.0	11.0	-	16.0	7.0	203780.0	7.0	0.0	0.0	4.0	0.0	14.0	169312.0	76.947	1.011	0.0	747.05	44.21	1225.0	38.0	904616.0	1183061.0	904616.0	904616.0	-	-	606430.8	541880.5	1.0	1.0	-	-
UWI248P	18.0	18.0	18.0	18.0	13.0	2.0	1387586.0	1387586.0	1387586.0	1387586.0	1284700.0	963799.0	18.0	910022.0	1387586.0	1521208.0	28.19	28.18	910022.0	910022.0	26763.0	18037.0	607246.6	553906.4	1.0	1.0	12.0	17.0	18.0	8.0	234336.0	5.0	0.0	0.0	3.0	0.0	15.0	185552.0	76.972	1.022	0.0	784.23	52.06	1227.0	36.0	904617.0	1196589.0	904617.0	904617.0	-	-	594095.4	541910.4	1.0	1.0	-	-
UWI263P	19.0	19.0	19.0	18.0	14.0	2.0	1409038.0	1409038.0	1409038.0	1399612.0	1312125.0	961828.0	19.0	907926.0	1409038.0	1521208.0	28.18	28.18	907926.0	907926.0	26519.0	20998.0	595812.4	551878.7	1.0	1.0	13.0	17.0	25.0	9.0	286890.0	13.0	0.0	0.0	4.0	0.0	15.0	162477.0	78.613	1.034	0.0	829.11	51.82	1246.0	54.0	904819.0	1236994.0	904819.0	904819.0	-	-	585398.8	542233.0	1.0	1.0	-	-
UWI283P	16.0	16.0	16.0	16.0	11.0	2.0	1332290.0	1332290.0	1332290.0	1332290.0	1225449.0	957131.0	16.0	903355.0	1332290.0	1521208.0	28.25	28.18	903355.0	903355.0	26531.0	-	622473.7	545169.0	1.0	1.0	11.0	-	20.0	8.0	240737.0	8.0	0.0	0.0	0.0	2.0	10.0	135937.0	77.217	1.018	0.0	872.33	51.52	1223.0	49.0	903176.0	1195764.0	903176.0	903176.0	-	-	617040.0	540410.2	1.0	1.0	-	-
XYZ459H	24.0	20.0	17.0	15.0	10.0	1.0	1272095.0	1269813.0	1266365.0	1248489.0	1169398.0	903233.0	22.0	903233.0	1271424.0	1521208.0	28.24	28.18	903233.0	903233.0	26537.0	-	649068.4	542490.7	1.0	1.0	10.0	-	8.0	5.0	101197.0	6.0	0.0	0.0	2.0	3.0	10.0	118769.0	75.191	1.007	0.0	757.97	44.71	1182.0	44.0	903158.0	1151892.0	903158.0	903158.0	1842.0	-	645585.2	539579.4	1.0	1.0	19.0	-
