CFHKPG_00001	Uncharacterized protein BB_0001
JCNJCL_00905	group_849
JCNJCL_00906	group_848
JCNJCL_00907	group_847
JCNJCL_00908	CobQ/CobB/MinD/ParA nucleotide binding domain protein
JCNJCL_00909	group_845
JCNJCL_00910	group_529
JCNJCL_00911	group_844
JCNJCL_00912	group_843
JCNJCL_00913	group_842
JCNJCL_00940	group_841
JCNJCL_00941	group_840
JCNJCL_00942	group_839
JCNJCL_00949	group_1102
JCNJCL_00983	group_780
JCNJCL_01143	group_1103
JCNJCL_01144	group_530
JCNJCL_01145	group_1104
JCNJCL_01146	group_1105
JCNJCL_01149	group_189
JCNJCL_01150	group_332
JCNJCL_01151	group_333
JCNJCL_01152	group_1106
JCNJCL_01153	group_1107
JCNJCL_01154	VlsE-like protein
JCNJCL_01167	group_1109
JCNJCL_01168	group_1110
JCNJCL_01169	group_1111
JCNJCL_01170	group_1112
JCNJCL_01198	group_1113
JCNJCL_01200	group_1114
JCNJCL_01201	group_1115
JCNJCL_01202	group_1116
JCNJCL_01205	group_1117
JCNJCL_01206	group_1118
JCNJCL_01208	right-handed parallel beta-helix repeat-containing protein
JCNJCL_01209	group_1120
JCNJCL_01211	group_792
JCNJCL_01212	group_791
JCNJCL_01214	group_521
JCNJCL_01215	group_1121
JCNJCL_01216	group_1122
JCNJCL_01217	group_1123
JCNJCL_01218	group_809
JCNJCL_01220	group_810
JCNJCL_01221	AAA domain-containing protein
JCNJCL_01222	group_812
JCNJCL_01223	group_813
JCNJCL_01228	group_793
JCNJCL_01229	group_794
JCNJCL_01230	group_795
JCNJCL_01231	group_796
JCNJCL_01232	group_305
JCNJCL_01234	group_797
JCNJCL_01235	group_798
JCNJCL_01236	group_814
JCNJCL_01237	group_815
JCNJCL_01238	group_816
JCNJCL_01239	group_186
JCNJCL_01241	group_801
JCNJCL_01242	group_802
JCNJCL_01243	group_803
JCNJCL_01244	group_804
JCNJCL_01245	group_522
JCNJCL_01246	group_1124
JCNJCL_01247	group_523
JCNJCL_01248	group_805
JCNJCL_01249	group_806
JCNJCL_01250	group_1125
JCNJCL_01251	group_808
HILFBG_00141	yidD
HILFBG_01016	group_1193
HILFBG_01416	group_1138
HILFBG_01480	group_1140
HILFBG_01481	group_1139
CMPENM_00979	group_1330
CMPENM_01160	group_1331
BKJAFL_01199	group_1320
BKJAFL_01200	group_1321
IGONDL_00901	Decorin-binding protein A
IGONDL_00966	group_1280
IGONDL_00978	Repeat motif-containing protein
IGONDL_01111	Membrane protein
IGONDL_01130	group_1300
IGONDL_01131	group_1299
IGONDL_01132	group_1298
IGONDL_01133	group_1297
IGONDL_01134	Putative membrane spanning protein
IGONDL_01135	group_1295
IGONDL_01136	group_1294
IGONDL_01138	group_1293
IGONDL_01139	group_1292
IGONDL_01140	group_1291
IGONDL_01141	group_1290
IGONDL_01142	group_1289
IGONDL_01143	group_1288
IGONDL_01144	group_1287
IGONDL_01145	group_1286
IGONDL_01146	group_1285
IGONDL_01147	group_597
IGONDL_01157	group_1303
IGONDL_01159	group_1302
IGONDL_01170	group_1301
IGONDL_01174	group_1337
IGONDL_01186	group_1338
IGONDL_01326	group_596
IGONDL_01332	group_1339
DMPBEC_00924	Rev
DMPBEC_00936	group_787
DMPBEC_00939	N-6 DNA methylase
DMPBEC_00940	tnpB
DMPBEC_00941	group_790
DMPBEC_00958	group_799
DMPBEC_00959	group_800
DMPBEC_00969	group_807
DMPBEC_01005	group_818
DMPBEC_01109	group_851
DMPBEC_01110	Borrelia lipoprotein
DMPBEC_01111	group_853
DMPBEC_01113	group_854
DMPBEC_01114	Repeat motif-containing gene protein
DMPBEC_01115	group_856
DMPBEC_01116	group_857
DMPBEC_01120	group_858
DMPBEC_01122	group_859
DMPBEC_01123	Pfs protein
DMPBEC_01124	group_861
DMPBEC_01125	group_862
DMPBEC_01170	group_863
DMPBEC_01171	group_864
DMPBEC_01176	group_865
DMPBEC_01253	group_870
CBDIHB_01455	group_1190
PKEGNH_00854	group_1040
PKEGNH_00912	group_1041
PKEGNH_00997	Mlp lipofamily protein
PKEGNH_01154	group_1044
AGEDGC_01059	group_1039
AGEDGC_01069	group_1038
AGEDGC_01313	group_1137
AGEDGC_01504	group_1141
MBDBPK_01298	group_1192
FMOGGM_00895	group_1379
FMOGGM_00896	group_1380
FMOGGM_01091	group_1381
FMOGGM_01208	group_1382
FMOGGM_01215	group_1383
FMOGGM_01218	group_1384
FMOGGM_01219	group_1385
BFHFJM_00001	group_1072
BFHFJM_00860	group_1073
BFHFJM_00879	group_1074
BFHFJM_00931	yjhX
BFHFJM_01005	group_1076
BFHFJM_01285	group_1080
BFHFJM_01286	group_1081
BFHFJM_01287	group_1082
BFHFJM_01288	group_1083
LBBEIA_01061	group_880
LBBEIA_01064	group_881
LBBEIA_01067	group_882
PPOBBG_00876	group_1035
KFDJMC_00081	group_729
KFDJMC_00871	group_731
KFDJMC_00908	group_732
KFDJMC_00929	group_733
KFDJMC_00930	group_734
KFDJMC_00932	DUF787 domain-containing protein
KFDJMC_00935	group_736
KFDJMC_00939	group_739
KFDJMC_00943	group_740
KFDJMC_00944	group_741
KFDJMC_00965	group_285
KFDJMC_00977	Erp24 protein
KFDJMC_00983	group_1058
KFDJMC_00985	group_752
KFDJMC_01009	group_751
KFDJMC_01023	group_749
KFDJMC_01035	Outer surface protein E
KFDJMC_01106	group_757
KFDJMC_01108	membrane protein
KFDJMC_01133	group_644
KFDJMC_01134	group_759
KFDJMC_01141	group_648
KFDJMC_01144	group_452
KFDJMC_01198	group_721
KFDJMC_01228	group_578
KFDJMC_01248	group_770
KFDJMC_01271	group_771
KFDJMC_01272	Putative vls recombination cassette 12
KFDJMC_01274	group_84
KFDJMC_01275	group_772
KFDJMC_01276	group_773
KFDJMC_01278	group_1059
KFDJMC_01329	group_483
PEKCCM_01052	group_1002
PEKCCM_01109	group_1003
PEKCCM_01111	group_1004
PEKCCM_01159	group_1005
GCLKFE_00917	Major outer surface protein C
GCLKFE_00927	group_613
GCLKFE_00942	group_1362
GCLKFE_00946	group_303
GCLKFE_01010	group_438
GCLKFE_01020	Complement regulator-acquiring surface protein 3
GCLKFE_01023	group_673
GCLKFE_01024	group_674
GCLKFE_01025	group_675
GCLKFE_01051	group_1363
GCLKFE_01071	group_632
GCLKFE_01075	blyB
GCLKFE_01081	group_671
GCLKFE_01118	cdsA
GCLKFE_01126	group_304
GCLKFE_01127	group_726
GCLKFE_01129	group_727
GCLKFE_01130	group_728
GCLKFE_01131	group_277
GCLKFE_01133	group_628
GCLKFE_01134	group_629
GCLKFE_01135	group_630
GCLKFE_01136	group_631
GCLKFE_01177	group_636
GCLKFE_01185	group_1364
GCLKFE_01193	group_620
GCLKFE_01198	group_1365
GCLKFE_01208	group_1366
GCLKFE_01219	group_1367
GCLKFE_01220	group_1368
KKDEEG_01400	group_1327
COKIOA_01085	group_1236
COKIOA_01291	group_1261
COKIOA_01305	group_1262
KCCJIL_00915	group_617
KCCJIL_00947	group_619
KCCJIL_00982	group_624
KCCJIL_01086	group_634
KCCJIL_01205	group_647
FOFEEG_01220	group_1189
FOFEEG_01316	group_1191
MCMNOK_01101	group_1391
JLNNBJ_01505	group_1370
JOOONJ_00630	rnmV
JOOONJ_00870	group_1387
JOOONJ_00884	group_1388
JOOONJ_00905	Erp family outer-surface lipoprotein
JOOONJ_01252	group_1389
JOOONJ_01253	group_1390
HOFFII_01418	group_1340
HOFFII_01419	group_1341
HOFFII_01420	group_1342
HOFFII_01424	group_1343
HOFFII_01426	group_1344
HOFFII_01428	group_1345
HOFFII_01429	group_1346
HOFFII_01445	group_1347
HOFFII_01446	group_1348
HOFFII_01447	group_1349
HOFFII_01459	group_1350
HOFFII_01463	group_1351
LJGGDI_00910	group_1061
LJGGDI_00911	group_1062
LJGGDI_01110	group_1068
LJGGDI_01235	group_1069
LJGGDI_01237	group_1070
KBFCPJ_00170	group_1275
KBFCPJ_00171	group_1276
KBFCPJ_00935	group_1279
KBFCPJ_01028	group_1282
KBFCPJ_01125	group_1283
KBFCPJ_01251	group_1284
IKHOEC_01351	group_1369
MGPBEI_00012	group_1195
MGPBEI_01373	group_1210
MGPBEI_01426	group_1211
MGPBEI_01430	group_1212
MGPBEI_01431	group_1213
MGPBEI_01432	group_1214
MGPBEI_01433	group_1215
MGPBEI_01434	XRE family transcriptional regulator
MGPBEI_01435	group_1217
MGPBEI_01436	DUF736 domain-containing protein
MGPBEI_01437	group_1219
MGPBEI_01438	group_1220
MGPBEI_01439	group_1221
MGPBEI_01440	group_1222
MGPBEI_01441	group_1223
MGPBEI_01442	group_1224
MGPBEI_01443	group_1225
MGPBEI_01444	NADH-quinone oxidoreductase subunit J
MGPBEI_01445	group_1227
JFIHAH_01247	group_1271
JFIHAH_01249	group_1272
JFIHAH_01250	group_1273
MDGKNB_01275	group_1091
MDGKNB_01276	group_1092
MDGKNB_01277	group_1093
MDGKNB_01278	group_1094
MDGKNB_01376	group_1095
HAFOMC_00904	group_944
HAFOMC_01031	group_951
CILHBO_01236	group_1264
FEGGFG_00872	group_1085
FEGGFG_00873	group_1086
FEGGFG_00874	group_1087
FEGGFG_00875	aac(3)-Ia
FEGGFG_01126	aph(3')-Ia
FEGGFG_01127	group_1090
HKCNAF_01204	group_1135
JEKLJL_01268	group_1006
PHNMIL_01144	group_1148
